Stop_No,Location,X,Y,Platetype,Adshelnum,Plate_loca,Casetype,Schemestop,Lighting,Nexusplate,District,Status,Shelter_Ty
1001,"PONTELAND RD,AIRPORT",419495,570141,O4,0502/0574,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
1002,"PONTELAND RD,CALLERTON",419116,570601,X1,0502/0472,BRACKET,LARGE, ,NEARBY,New,Newcastle,OPERATING,ABACUS
1003,"PONTELAND RD,AIRPORT",418618,571140,C3, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
1004,AIRPORT TERMINAL,418565,571438,C3, ,STAINLESS STEEL,NORMAL, ,AT STOP,Yes,Newcastle,OPERATING,SPECIAL
1005,PONTELAND ROAD,418620,571150,C4,0502/0702,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
1006,"PONTELAND RD,CALLERTON",419196,570527,X1, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
1007,"PONTELAND RD,WOOLSINGTON",419535,570114,X4, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,NONE
1008,"CALLERTON LN,C/TON",419076,570463,X4, ,STAINLESS STEEL,NONE, ,AT STOP,New,Newcastle,OPERATING,NONE
1009,"PONTELAND RD,CALLERTON - GONE !!",419331,570332,C3, ,Removed,None, ,At Stop,Yes,Newcastle,DECOMMISSIONED,NONE
1010,"PONTELAND RD,CALLERTON - GONE",419388,570321,C3, ,Removed,None, ,Nearby,Yes,Newcastle,DECOMMISSIONED,NONE
2002,GREAT NORTH ROAD BRUNTON LANE,424201,570494,C7,0502/0320,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
2003,NEWCASTLE RACECOURSE,424150,571235,C7, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
2020,NEWCASTLE RACECOURSE,424161,571209,C7,0502/0908,BRACKET,LARGE, ,NEARBY,New,Newcastle,OPERATING,ADSHEL
2021,GREAT NORTH ROAD GLAMIS AVENUE,424237,570497,C7,0502/0101,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
2022,GREAT NORTH ROAD NORWOOD AVENUE,424281,570304,C6, ,BRACKET,LARGE, ,NEARBY,New,Newcastle,OPERATING,STONE
2023,"COACH LANE,HAZLERIGG",424021,571943,X4, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
2024,COACH LANE HAZLERIGG,423384,571952,X4, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
2025,"COACH LANE,HAZLERIGG",423153,571950,X4, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,NONE
2026,COACH LANE HAZLERIGG,422951,571950,O1,0502/0271,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
2027,COACH LANE MORLEY HILL FARM,422412,571931,O1, ,STAINLESS STEEL,NORMAL, ,NONE,New,Newcastle,OPERATING,NONE
2028,COACH LANE HAZLERIGG,422017,571929,X4, ,STAINLESS STEEL,NORMAL, ,NONE,New,Newcastle,OPERATING,NONE
2029,COACH LANE HAZLERIGG,421595,571918,X4, ,STAINLESS STEEL,NORMAL, ,NONE,New,Newcastle,OPERATING,NONE
2030,"COACH LANE,HAZLERIGG",421445,571921,X4, ,STAINLESS STEEL,NORMAL, ,NONE,New,Newcastle,OPERATING,NONE
2031,"COACH LN,HAZLERIGG",421689,571921,X4, ,METAL,NORMAL, ,NONE,New,Newcastle,OPERATING,NONE
2032,COACH LANE HAZLERIGG,422089,571942,X4, ,METAL,NORMAL, ,NONE,New,Newcastle,OPERATING,NONE
2033,COACH LANE HAZLERIGG,422344,571947,X4, ,METAL,NORMAL, ,NONE,New,Newcastle,OPERATING,NONE
2034,COACH LANE HAZLERIGG,422948,571960,O1, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
2035,COACH LANE HAZLERIGG,423099,571960,X4, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
2040,DARREL ST BRUNSWICK,423406,572634,X4, ,STAINLESS STEEL,NORMAL, ,AT STOP,Yes,Newcastle,OPERATING,NONE
2041,DARREL STREET BRUNSWICK VILLAGE,423223,572650,O1, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
2042,"SANDY LANE,BRUNSWICK",422558,572661,X4, ,STAINLESS STEEL,NORMAL, ,NONE,Yes,Newcastle,OPERATING,NONE
2043,SANDY LANE BRUNSWICK,421758,572707,X4, ,STAINLESS STEEL,NORMAL, ,NONE,Yes,Newcastle,OPERATING,NONE
2044,BRUNTON LN DINNINGTON,421041,572935,X4, ,STAINLESS STEEL,NORMAL, ,NONE,Yes,Newcastle,OPERATING,NONE
2045,MAIN ROAD HORTON CRESCENT,420912,573150,O1, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
2046,"FRONT ST,DINNINGTON",420764,573337,X4, ,STAINLESS STEEL,NORMAL, ,NEARBY,Yes,Newcastle,OPERATING,NONE
2047,PRESTWICK RD DINNINGTON,420306,573341,X4, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,NONE
2048,PRESTWICK RD DINNINGTON,420178,573286,O2, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,NONE
2049,"PRESTWICK RD,DINNINGTON",420355,573369,O2, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,NONE
2050,FRONT STREET DINNINGTON,420784,573343,O1, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,STONE
2051,"MAIN RD,DINNINGTON",420937,573127,O2, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,NONE
2052,"MAIN RD,DINNINGTON",421027,572979,O2, ,STAINLESS STEEL,NORMAL, ,AT STOP,Yes,Newcastle,OPERATING,NONE
2053,SANDY LANE MILL HILL FARM,421786,572726,O1, ,STAINLESS STEEL,NORMAL, ,NONE,New,Newcastle,OPERATING,NONE
2054,SANDY LANE BRUNSWICK VILLAGE,422645,572704,O1, ,METAL,NORMAL, ,NONE,New,Newcastle,OPERATING,NONE
2055,DARREL STREET BRUNSWICK VILLAGE,423217,572660,O1, ,BRACKET,NORMAL, ,NEARBY,New,Newcastle,OPERATING,BRICK
2065,POLWARTH DRIVE BRUNTON PARK,423949,570293,O1,0502/0254,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
2070,"COACH LANE,HAZLERIGG",423656,571951,X4,0502/0272,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
2071,PRESTWICK RD DINNINGTON E/B,420130,573273,O2, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
2901,SANDY LANE BRUNSWICK VILLAGE,422883,572719,O1,0502/0490,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
2902,SANDY LANE BRUNSWICK VILLAGE,422928,572693,O1,0502/0491,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
2925,BRUNTON LANE WESTBOUND,423669,570639,X3,NK,BRACKET,LARGE, ,UNKOWN,New,Newcastle,OPERATING,SIGMA
2926,NEWCASTLE GREAT PARK NORTHBOUND,423146,570816,C3, ,STAINLESS STEEL,NORMAL, ,UNKOWN,New,Newcastle,OPERATING, 
2927,NEWCASTLE GREAT PARK SOUTHBOUND,423166,570817,C3, ,STAINLESS STEEL,NORMAL, ,UNKOWN,New,Newcastle,OPERATING, 
2928,BRUNTON LANE EASTBOUND,423716,570643,X3,NK,BRACKET,LARGE, ,UNKOWN,New,Newcastle,OPERATING,SIGMA
2929,COACH LANE-W/B,423830,571947,O3, ,Stainless Steel,Normal, , ,New,Newcastle,OPERATING, 
2930,NEWCASTLE GREAT PARK,422803,571110,C3, ,STAINLESS STEEL,NORMAL, ,UNKOWN, ,Newcastle,OPERATING,SPECIAL
2931,Sir Bobby Robson Way,423132,571073, , ,Stainless Steel,Normal, ,None, ,Newcastle,OPERATING, 
2950,"Wagonway Drive, Newcastle Great Park s/b",422395,570731, ,505,Bracket,Large, , , ,Newcastle,OPERATING,ADSHEL
6001,HEXHAM ROAD,414831,566863,C3, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,NONE
6002,"HEXHAM RD,THROCKLEY",414809,566872,C4, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
7001,"WEST RD,DENTON BURN",419768,565592,C3,0502/0579,BRACKET,LARGE, ,UNKOWN,Yes,Newcastle,OPERATING,ADSHEL
7002,"WEST RD,DENTON BURN- REMOVED",419624,565653,C5, ,Bracket,None, ,Unknow,Yes,Newcastle,OPERATING,BRICK
7003,"WEST RD,DENTON BURN",419419,565735,C4,0502/9178,BRACKET,NORMAL, ,NEARBY,New,Newcastle,OPERATING,STONE
7004,"WEST RD,DENTON BURN",419155,565822,C4,0502/0907,BRACKET,LARGE, ,NEARBY,New,Newcastle,OPERATING,ADSHEL
7005,LEMINGTON ROAD ENDS,418595,565953,C5,0502/0497,BRACKET,LARGE, ,NEARBY,New,Newcastle,OPERATING,ADSHEL
7006,"HEXHAM RD,LEMINGTON",418289,566039,X1,0502/0465,BRACKET,LARGE, ,AT STOP,YES,Newcastle,OPERATING,ADSHEL
7007,HEXHAM ROAD,417656,566346,C3,0502/0279,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7008,HEXHAM ROAD WALBOTTLE,417191,566504,C4, ,stainless steel,NORMAL, ,NEARBY,New,Newcastle,OPERATING,NONE
7009,HEXHAM ROAD HAWTHORN TERRACE,416931,566594,C2,0502/0600,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7010,"HEXHAM RD,B6528",416517,566733,C4,0502/0514,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7011,HEXHAM ROAD,415985,566832,C3,0502/0463,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7012,THROCKLEY ROUNDABOUT,415688,566839,C4,0502/0273,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7013,HEXHAM RD THROCKLEY,415418,566846,C3, ,stainless steel,NORMAL, ,NEARBY,New,Newcastle,OPERATING,NONE
7014,"HEXHAM RD,THROCKLEY",415065,566857,C4, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
7015,"HEXHAM RD,THROCKLEY",415067,566865,C4, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,BRICK
7016,HEXHAM RD THROCKLEY,415424,566860,C4,0502/0593,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
7017,THROCKLEY ROUNDABOUT,415696,566851,C5,0502/9483,STAINLESS STEEL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,BRICK
7018,HEXHAM ROAD,416026,566844,C3,0502/0258,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7019,"HEXHAM RD,THROCKLEY",416601,566720,C3,0502/0513,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7020,HEXHAM ROAD HAWTHORN TERRACE,416846,566638,C4, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,BRICK
7021,HEXHAM ROAD WALBOTTLE,417311,566475,C4,0502/0464,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7022,"OLD HEXHAM RD,BLUCHER",417720,566333,C4, ,stainless steel,LARGE, ,NEARBY,New,Newcastle,OPERATING,BRICK
7023,"HEXHAM RD,BLUCHER",418331,566025,C3,0502/0285,BRACKET,LARGE, ,AT STOP,Yes,Newcastle,OPERATING,ADSHEL
7024,A69-THE BURNSIDE,419023,565894,C5,0502/0503,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7025,"WEST RD, DENTON BURN",419370,565781,C6,0502/9181,METAL,LARGE, ,NEARBY,New,Newcastle,OPERATING,STONE
7026,"WEST RD,DENTON BURN",419795,565613,C5,0502/0206,BRACKET,LARGE, ,UNKOWN,New,Newcastle,OPERATING,ADSHEL
7036,HIGH ST NEWBURN,417070,565186,C4, ,METAL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,NONE
7037,HIGH ST NEWBURN,416776,565268,C4, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,NONE
7038,HIGH STREET NEWBURN,416609,565321,C2, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
7039,"NEWBURN RD,NEWBURN",416509,565610,C4,0502/0255,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7040,"NEWBURN RD,NEWBURN",416443,565956,C2, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,NONE
7041,"NEWBURN RD,THROCKLEY",416228,566208,C4, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
7042,"NEWBURN RD,THROCKLEY",416034,566446,C4, ,STAINLESS STEEL,NONE, ,AT STOP,New,Newcastle,OPERATING,NONE
7043,THROCKLEY ROUNDABOUT,415835,566784,C1, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
7044,PONTELAND ROAD-THROCKLEY,415798,566991,X4, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
7045,PONTELAND RD THROCKLEY,415638,567732,X4, ,STAINLESS STEEL,NONE, ,NONE,New,Newcastle,OPERATING,NONE
7046,PONTELAND RD THROCKLEY,415654,567728,X4, ,STAINLESS STEEL,NONE, ,AT STOP,New,Newcastle,OPERATING,NONE
7047,THROCKLEY TRADING ESTATE,415803,567394,X4, ,stainless steel,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
7048,PONTELAND ROAD-ALSTON GARDENS,415814,566974,X4,0502/0463,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,INSIGNIA
7049,"NEWBURN RD,THROCKLEY",415915,566696,C4,0502/0944,BRACKET,LARGE, ,NEARBY,New,Newcastle,OPERATING,ADSHEL
7050,NEWBURN RD THROCKLEY,416002,566513,C4, ,METAL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,NONE
7051,"NEWBURN RD,THROCKLEY",416262,566167,C4,0502/0244,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7052,"NEWBURN RD,NEWBURN",416460,565948,C4,0502/0718,BRACKET,LARGE, ,NEARBY,New,Newcastle,OPERATING,ADSHEL
7053,"NEWBURN RD,NEWBURN",416522,565632,C4, ,METAL,NORMAL, ,UNKOWN,New,Newcastle,OPERATING,BRICK
7054,"HIGH ST,NEWBURN",416626,565317,C4,0502/0504,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7055,HIGH ST NEWBURN,416764,565279,C4, ,BRACKET,NORMAL, ,AT STOP,New,Newcastle,OPERATING,BRICK
7056,"HIGH ST,NEWBURN",417071,565202,C4,0502/0531,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7065,"STAMFORDHAM RD,W/HOPE",419874,567183,C4,0502/0024,BRACKET,LARGE, ,NEARBY,New,Newcastle,OPERATING,BRICK
7066,STAMFORDHAM ROAD-WESTERHOPE,419652,567290,C4,0502/0210,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7068,"STAMFORDHAM RD,W/HOPE",419251,567563,C4, ,stainless steel,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
7069,"STAMFORDHAM RD,W/HOPE",419026,567664,C4,0502/0552,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7070,"STAMFORDHAM RD,W/HOPE",418708,567841,C4, ,stainless steel,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
7071,STAMFORDHAM ROAD,418428,568014,C2, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,NONE
7072,STAMFORDHAM ROAD CALLERTON,417629,568570,C1, ,METAL,NORMAL, ,NONE,New,Newcastle,OPERATING,NONE
7077,STAMFORDHAM ROAD CALLERTON,417648,568565,C1, ,stainless steel,NORMAL, ,AT STOP,New,Newcastle,OPERATING,BRICK
7078,"STAMFORDHAM RD,WHORLTON",418574,567920,C4, ,METAL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,NONE
7079,STAMFORDHAM RD W/HOPE,418819,567797,C4, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,NONE
7080,"STAMFORDHAM RD,W/HOPE",419180,567609,C4,0502/0657,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7081,STAMFORDHAM ROAD-WESTERHOPE,419722,567261,C4,0502/0367,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7082,"HILLHEADS RD,WESTERHOPE",419062,567516,O4,0502/0414,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7083,"HILLHEAD RD,CHAPEL PK",418896,567171,X4,0502/0330,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7084,HILLHEAD RD CHAPEL PK,418818,567006,X4,0502/9262,stainless steel,NORMAL, ,NEARBY,New,Newcastle,OPERATING,BRICK
7085,"HILLHEAD RD,CHAPEL HSE",418642,566425,X4,0502/0398,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7086,"HILLHEAD RD,CHAPEL HSE",418565,566149,X4, ,stainless steel,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
7087,UNION HALL ROAD WEST DENTON ROAD,418511,565616,O1,0502/0555,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7088,UNION HALL ROAD,418546,565274,O2,0502/0433,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7089,UNION HALL ROAD BEWICK CRESCENT,418555,565009,O1,0502/0461,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7092,"UNION HALL RD,LEMINGTON",418544,565033,O4, ,STAINLESS STEEL,NORMAL, ,AT STOP,Yes,Newcastle,OPERATING,NONE
7093,UNION HALL ROAD,418532,565356,O4, ,BRACKET,NORMAL, ,AT STOP,New,Newcastle,OPERATING,BRICK
7094,UNION HALL ROAD,418498,565747,O4,0502/0051,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7095,UNION HALL ROAD,418510,565888,C3, ,STAINLESS STEEL,NORMAL, ,UNKOWN,New,Newcastle,OPERATING,NONE
7096,"HILLHEAD RD,CHAPEL HSE",418568,566202,O4, ,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7097,HILLHEAD ROAD,418644,566466,O4,0502/0329,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7098,"HILLHEAD RD,CHAPEL PK",418784,566954,X4,0502/0512,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7099,"HILLHEAD RD,CHAPEL PK",418933,567281,X4,0502/0440,BRACKET,LARGE, ,NEARBY,New,Newcastle,OPERATING,ADSHEL
7100,"HILLHEADS RD,WESTERHOPE",419075,567583,O4,0502/0572,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7101,GREENWAY CHAPEL PK,418772,567480,X4, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
7102,GREENWAY,418453,567619,O3, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,NONE
7103,GREENWAY,418257,567713,O2, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
7104,NORTH WALBOTTLE ROAD,418208,567755,O2, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
7105,NORTH WALBOTTLE RD,417867,567743,X4, ,STAINLESS STEEL,NORMAL, ,NEARBY,Yes,Newcastle,OPERATING,NONE
7106,NORTH WALBOTTLE RD,417724,567774,X4,0502/0274,BRACKET,LARGE, ,AT STOP,Yes,Newcastle,OPERATING,ADSHEL
7107,NORTH WALBOTTLE ROAD ABBEY DRIVE,417505,567521,O1, ,BRACKET,NORMAL, ,AT STOP,New,Newcastle,OPERATING,BRICK
7108,NORTH WALBOTTLE RD,417485,567324,X4,0502/0517,BRACKET,LARGE, ,AT STOP,Yes,Newcastle,OPERATING,ADSHEL
7109,NORTH WALBOTTLE RD,417470,567227,X3, ,BRACKET,NORMAL, ,AT STOP,New,Newcastle,OPERATING,BRICK
7110,NORTH WALBOTTLE RD,417305,566543,O4, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
7111,WALBOTTLE ROAD PERCY WAY,417000,566244,O1, ,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,BRICK
7112,"WALBOTTLE RD,WALBOTTLE",416910,566032,O4,0502/0515,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7113,"WALBOTTLE RD,NEWBURN",416926,565823,O4, ,STAINLESS STEEL,NORMAL, ,AT STOP,Yes,Newcastle,OPERATING,NONE
7114,"WALBOTTLE RD,NEWBURN",417087,565368,O4, ,stainless steel,NORMAL, ,AT STOP,Yes,Newcastle,OPERATING,NONE
7115,"WALBOTTLE RD,NEWBURN",417088,565340,O4, ,METAL,NORMAL, ,AT STOP,Yes,Newcastle,OPERATING,NONE
7116,"WALBOTTLE RD,NEWBURN",416916,565823,O4, ,STAINLESS STEEL,NORMAL, ,AT STOP,Yes,Newcastle,OPERATING,NONE
7117,"WALBOTTLE RD,WALBOTTLE",416893,566010,O4,0502/0604,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7118,"WALBOTTLE RD,WALBOTTLE",416999,566268,O4, ,STAINLESS STEEL,NORMAL, ,AT STOP,Yes,Newcastle,OPERATING,NONE
7119,WALBOTTLE ROAD HEXHAM ROAD,417310,566603,O1,0502/0516,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7120,NORTH WALBOTTLE RD,417447,567160,O3, ,BRACKET,NORMAL, ,AT STOP,New,Newcastle,OPERATING,BRICK
7121,NORTH WALBOTTLE RD,417482,567362,X3,0502/0518,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7122,NORTH WALBOTTLE RD,417499,567583,X3, ,METAL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,BRICK
7123,NORTH WALBOTTLE RD,417744,567777,X3,0502/0277,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7124,NORTH WALBOTTLE ROAD,417882,567749,X3,0502/0275,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7127,GREENWAY,418276,567702,O3,0502/0468,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7128,"GREENWAY,CHAPEL PK",418539,567617,X3,0502/0424,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7129,GREENWAY CHAPEL PK,418793,567459,X3, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
7134,"BROADWOOD RD,D/BURN-TERMN",419878,565187,X4,0502/0374,BRACKET,LARGE, ,UNKOWN,New,Newcastle,OPERATING,ADSHEL
7138,WEST DENTON WAY,419618,566445,O5,0502/0445,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7139,WEST DENTON SHOPS,419328,566439,O1,0502/0022,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7140,HILLHEAD PARKWAY/C/HSE,418344,566703,X3, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
7141,"HILLHEAD PARKWAY,C/HSE",418013,566858,X3, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,NONE
7142,"HILLHEAD PARKWAY,C/HSE",418251,567046,X4,0502/0264,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7143,HILLHEAD PARKWAY-ELSTON CLOSE,418298,566783,X4,0502/0267,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7144,"HILLHEAD PARKWAY,C/HSE",418534,566644,X4,0502/0511,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7145,WEST DENTON SHOPS,419312,566463,X4,0502/0021,BRACKET,LARGE, ,NEARBY,New,Newcastle,OPERATING,ADSHEL
7146,WEST DENTON WAY,419611,566467,O4, ,STAINLESS STEEL,LARGE, ,NEARBY,New,Newcastle,OPERATING,STONE
7147,PONTELAND ROAD SOUTH DRIVE,419974,569544,O1, ,METAL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,NONE
7148,"PONTELAND RD,WOOLSINGTON",419695,569705,O4,0502/0621,BRACKET,LARGE, ,AT STOP,Yes,Newcastle,OPERATING,ADSHEL
7149,PONTELAND ROAD WOOLSINGTON,419667,569811,O1,0502/0570,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7150,"BEDEBURN RD,N/B/HALL",419848,568309,O4,0502/0297,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7151,BEDEBURN ROAD,419663,568149,O4,0502/0269,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7152,BEDEBURN ROAD,419715,567905,O4,0502/0263,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7153,"NEWBIGGIN LANE,N.B.H.",419734,567603,X4,0502/0546,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7154,NEWBIGGIN LANE WESTERHOPE,419641,567367,C3,0502/0502,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7156,NEWBIGGIN LANE WESTERHOPE,419639,567403,C3,0502/0547,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7157,"NEWBIGGIN LANE,N/B/H",419735,567657,X4,0502/0382,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7158,BEDEBURN RD N/B/HALL,419677,567904,X4, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,NONE
7159,BEDEBURN ROAD,419648,568141,O4,0502/0664,BRACKET,NORMAL, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7160,BEDEBURN RD N.B.H.,419934,568326,X4,0502/0496,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7161,"TREVELYAN DR,N.B.H.",419823,567524,X4,0502/0431,METAL,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7162,TREVELYAN DR N/B/HALL,419835,567536,X4,0502/0432,MISSING,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7163,LEMINGTON ROAD ENDS,418644,566019,C6,0502/0276,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
7164,COACH RD THROCKLEY,415351,566644,X4, ,stainless steel,NORMAL, ,NEARBY,Yes,Newcastle,OPERATING,NONE
